destination_id,name,category,start_date,end_date,location,description
1,Hunks - 21+,Arts & Theatre,2025-07-27,2025-07-27,Fraternal Order of Eagles - Paris,
1,Counting Crows,Music,2025-10-09,2025-10-09,Olympia Hall,
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-07-29,2025-07-29,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-07-29,2025-07-29,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-07-30,2025-07-30,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-07-30,2025-07-30,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-07-31,2025-07-31,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-07-31,2025-07-31,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-08-01,2025-08-01,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-08-01,2025-08-01,AdventHealth Stadium,"A Full Season Membership is the ultimate experience with incredible benefits that includes all 66 home games at AdventHealth Stadium. Whether it is for business or pleasure, Full Season Memberships can be used in so many ways for you, friends, family, and coworkers. Full Season Members are the lifeblood of the Rome Emperors organization. Be part of Emperors Nation and purchase your season tickets now! Full Season Members receive amazing benefits that no other membership or ticket plan can match. Receive exclusive access to AdventHealth Stadium, players, and coaches all summer long. Also includes: early access, member events, special drawings, unlimited popcorn, and more!"
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-08-02,2025-08-02,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-08-02,2025-08-02,AdventHealth Stadium,"A Full Season Membership is the ultimate experience with incredible benefits that includes all 66 home games at AdventHealth Stadium. Whether it is for business or pleasure, Full Season Memberships can be used in so many ways for you, friends, family, and coworkers. Full Season Members are the lifeblood of the Rome Emperors organization. Be part of Emperors Nation and purchase your season tickets now! Full Season Members receive amazing benefits that no other membership or ticket plan can match. Receive exclusive access to AdventHealth Stadium, players, and coaches all summer long. Also includes: early access, member events, special drawings, unlimited popcorn, and more!"
2,Rome Emperors vs. Greensboro Grasshoppers,Sports,2025-08-03,2025-08-03,AdventHealth Stadium,
2,Rome Emperors v. Greensboro Grasshoppers,Sports,2025-08-03,2025-08-03,AdventHealth Stadium,"A Full Season Membership is the ultimate experience with incredible benefits that includes all 66 home games at AdventHealth Stadium. Whether it is for business or pleasure, Full Season Memberships can be used in so many ways for you, friends, family, and coworkers. Full Season Members are the lifeblood of the Rome Emperors organization. Be part of Emperors Nation and purchase your season tickets now! Full Season Members receive amazing benefits that no other membership or ticket plan can match. Receive exclusive access to AdventHealth Stadium, players, and coaches all summer long. Also includes: early access, member events, special drawings, unlimited popcorn, and more!"
2,Rome Emperors vs. Bowling Green Hot Rods,Sports,2025-08-12,2025-08-12,AdventHealth Stadium,
